名称,種類,所在地,関連URL,写真,回収地区,回収日,回収品目,その他情報,コメント,経度,緯度
光丘 17,総合,大和市深見3594,,,回収地区8,A資源-毎月2･4回目火<BR>B資源-毎月1･3回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,111-B-3,139.4728625,35.4601889
さくら  2,総合,大和市柳橋2-22  わかば緑地,,,回収地区7,A資源-毎月1・3回目火<br>B資源-毎月2・4回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,115-F-5,139.4663182,35.4547629
さくら  1,総合,大和市柳橋4-5050  引地台中学校東側,,,回収地区7,A資源-毎月1・3回目火<br>B資源-毎月2・4回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,115-E-8,139.4655906,35.4536171
さつき会  1,総合,大和市下鶴間1943  目黒公園,,,回収地区4,A資源-毎月2・4回目月<BR>B資源-毎月1・3回目月<BR>容器包装プラ-毎週水,A資源、B資源、容器包装プラ,,033-F-8,139.4658832,35.4987081
つきみ野  7,総合,大和市つきみ野1-12  つきみ野5号公園東南側,,,回収地区2,A資源-毎月2・4回目木<BR>B資源-毎月1・3回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,033-A-2,139.4631612,35.5013573
つきみ野  1,総合,大和市つきみ野1-1-40,,,回収地区2,A資源-毎月2・4回目木<BR>B資源-毎月1・3回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,031-H-5,139.4582529,35.5003229
つきみ野  2,総合（B）,大和市つきみ野1-4-25  メーラつきみ野II,,,回収地区2,B資源-毎月1・3回目木,B資源のみ,A資源・容器包装プラの回収はありません,032-B-2,139.4591035,35.5012825
つきみ野  6,総合（B）,大和市つきみ野1-8-5,,,回収地区2,B資源-毎月1・3回目木,B資源のみ,A資源・容器包装プラの回収はありません,032-G-2,139.4618591,35.5012438
つきみ野  9,総合,大和市つきみ野2-9  PCデポ駐車場,,,回収地区2,A資源ｰ毎月2・4回目木　B資源-毎月1・3回目木　容器包装プラｰ毎週火,A資源、B資源、容器包装プラ,,023-E-8,139.4653952,35.5031055
つきみ野  12,総合,大和市つきみ野3-16  つきみ野4号公園,,,回収地区2,A資源-毎月2・4回目木<BR>B資源-毎月1・3回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,022-D-7,139.4603105,35.5034654
