名称,ふりがな,郵便番号,所在地,関連URL,写真,コメント,電話番号,FAX番号,その他情報,経度,緯度
セブンイレブン小田急マルシェ 中央林間店,せぶんいれぶんおだきゅうまるしぇ ちゅうおうりんかんてん,2420007,大和市中央林間4-4-3,,,19-D-3,046-240-8035,046-240-8035,,139.4475174,35.5053705
ファミリーマート　中央林間西６丁目店,ふぁみりーまーと　ちゅうおうりんかんにしろくちょうめてん,2420008,大和市中央林間西6-10-54,,,25-D･Eｰ4,046-278-2186,,,139.4340569,35.5005084
クリエイトS･D　大和西中央林間店,くりえいとえすでぃー　やまとにしちゅうおうりんかんてん,2420008,大和市中央林間西6-6-34,,,25-F-7,046-271-5630,,,139.4345805,35.499382
セブンイレブン　大和南林間７丁目店,せぶんいれぶん　やまとみなみりんかんななちょうめてん,2420006,大和市南林間7-25-11,,,53-E-2,046-273-0406,,,139.438807,35.487713
ローソン　大和中央林間西二丁目店,ろーそん　やまとちゅうおうりんかんにしにちょうめてん,2420008,大和市中央林間西2-17-22,,,27-E-10　,046-200-9798,,,139.4393584,35.4977969
（株）シンセツ電器,しんせつでんき,2420006,大和市南林間6-23-25,,,53-GH-2,046-275-8878,,,139.4404517,35.487788
セブンイレブン　大和桜森店,せぶんいれぶん　やまとさくらもりてん,2420028,大和市桜森3-12-18,,,87-H-1・2,046-262-7725,,,139.4406844,35.4699591
セブンイレブン　大和トラックステーション店,せぶんいれぶん　やまととらっくすてーしょんてん,2420029,大和市上草柳588,,,80-C-1,046-262-0711,,,139.4424579,35.4749143
（有）鈴久酒店,ゆうげんがいしゃすずきゅうさけてん,2420006,大和市南林間6-11-15,,,44-D-10,046-274-9232,,,139.4425896,35.4884982
ローソンスリーエフ　相模大塚駅前店,ろーそんすりーえふ　さがみおおつかえきまえてん,2420028,大和市桜森2-8-15,,,88-D-8,046-262-8634,,,139.4431753,35.4670355
ウエルシア　相模大塚駅前店,うえるしあ　さがみおおつかえきまえてん,2420028,大和市桜森3-1-1,,,88-D-8,046-200-6900,,,139.4432737,35.4672519
ファミリーマート　大和西鶴間店,ふぁみりーまーと　やまとにしつるまてん,2420005,大和市西鶴間8-1-5,,,62-G-9,046-271-7707,,,139.4444942,35.4803033
