名称,ふりがな,郵便番号,所在地,関連URL,写真,コメント,電話番号,FAX番号,その他情報,経度,緯度
ファミリーマート中央林間西六丁目店,ふぁみりーまーとちゅうおうりんかんにしろくちょうめてん,2420008,大和市中央林間西6-10-54,,,,046-278-2186,,,139.4340546,35.5006199
セブンイレブン大和南林間７丁目店,せぶんいれぶんやまとみなみりんかんななちょうめてん,2420006,大和市南林間7-25-11,,,,046-273-0406,,,139.4388298,35.4876371
ローソン大和中央林間西二丁目店,ろーそんやまとちゅうおうりんかんにしにちょうめてん,2420008,大和市中央林間西2-17-22,,,,046-276-5328,,,139.4394217,35.4978337
セブンイレブン大和桜森店,せぶんいれぶんやまとさくらもりてん,2420028,大和市桜森3-12-8,,,,046-262-7725,,,139.4406952,35.4699382
鈴久酒店,すずきゅうさけてん,2420006,大和市南林間6-11-15,,,,046-274-9232,,,139.4426256,35.4885125
ローソン・スリーエフ相模大塚駅前店,ろーそんすりーえふさがみおおつかえきまえてん,2420028,大和市桜森2-8-15,,,,046-262-8634,,,139.4431793,35.467005
セブンイレブン大和中央林間５丁目店,せぶんいれぶんやまとちゅうおうりんかんごちょうめてん,2420007,大和市中央林間5-4-16,,,,046-273-0385,,,139.4456586,35.5086921
オオゼキ中央林間店,おおぜきちゅうおうりんかんてん,2420007,大和市中央林間5-7-4,,,,046-273-0288,,,139.4458965,35.5055756
セブンイレブン大和中央林間１丁目店,せぶんいれぶんやまとちゅうおうりんかんいっちょうめてん,2420007,大和市中央林間1-9-13,,,,046-271-7110,,,139.446397,35.4985462
セブンイレブン大和中央林間３丁目店,せぶんいれぶんやまとちゅうおうりんかんさんちょうめてん,2420007,大和市中央林間3-11-1,,,,046-272-3077,,,139.4464784,35.5045143
デイリーヤマザキ西鶴間店 信濃屋,でいりーやまざきにしつるまてんしなのや,2420005,大和市西鶴間6-20-13,,,,046-274-4400,,,139.4465223,35.4831479
セブンイレブン大和桜森１丁目店,せぶんいれぶんやまとさくらもりいっちょうめてん,2420028,大和市桜森1-6-20,,,,046-261-1101,,,139.4465795,35.4656554
ファミリーマート中央林間駅前店,ふぁみりーまーとちゅうおうりんかんえきまえてん,2420007,大和市中央林間3-3-8,,,,046-278-2761,,,139.4467402,35.5054436
ローソン大和南林間五条通り店,ろーそんやまとみなみりんかんごじょうどおりてん,2420006,大和市南林間4-7-18,,,,046-275-6605,,,139.4467533,35.4905382
福田屋,ふくだや,2420007,大和市中央林間3-4-13,,,,046-274-4140,,,139.4468022,35.5050662
セブンイレブン大和中央林間駅西店,せぶんいれぶんやまとちゅうおうりんかんえきにしてん,2420007,大和市中央林間3-1-11,,,,046-277-6707,,,139.4470697,35.5032826
廣田屋,ひろたや,2420007,大和市中央林間4-1-6,,,,046-276-7979,,,139.4476034,35.5021032
ペンギンドラッグ中央林間店,ぺんぎんどらっぐちゅうおうりんかんてん,2420007,大和市中央林間4-5-5,,,,046-276-8640,,,139.4478025,35.5052008
サイクルセンター ナガノ,さいくるせんたーながの,2420006,大和市南林間1-19-11,,,,046-274-4439,,,139.4478885,35.4911412
ダイナス,だいなす,2420007,大和市中央林間4-5-21,,,,046-276-5181,,,139.4479041,35.5046027
ファミリーマート大和上草柳店,ふぁみりーまーとやまとかみそうやぎてん,2420029,大和市上草柳104-3,,,,046-200-5278,,,139.4480131,35.4685502
ダイナス第一営業所,だいなすだいいちえいぎょうしょ,2420007,大和市中央林間4-5-10,,,,046-274-2975,,,139.4480418,35.5055
おかべ,おかべ,2420007,大和市中央林間6-1-13,,,,046-274-2638,,,139.4481583,35.5057272
セブンイレブン大和中央林間駅前店,せぶんいれぶんやまとちゅうおうりんかんえきまえてん,2420007,大和市中央林間4-6-20,,,,046-277-7779,,,139.4482288,35.5037654
秋田屋酒店,あきたやさけてん,2420005,大和市西鶴間4-12-40,,,,046-261-3941,,,139.4492144,35.4828679
ファミリーマート中央林間駅東口店,ふぁみりーまーとちゅうおうりんかんえきひがしぐちてん,2420007,大和市中央林間4-14-20,,,,046-276-9991,,,139.4493739,35.5047283
西海電器商会,にしうみでんきしょうかい,2420006,大和市南林間1-9-17,,,,046-274-0734,,,139.4496495,35.4918585
森田屋商店,もりたやしょうてん,2420006,大和市南林間2-10-15,,,,046-274-8142,,,139.4499085,35.4931975
大矢商店,おおやしょうてん,2420006,大和市南林間1-8-19,,,,046-274-0549,,,139.4503796,35.4922527
セブンイレブン大和林間２丁目店,せぶんいれぶんやまとりんかんにちょうめてん,2420003,大和市林間2-2-1,,,,046-277-1711,,,139.450715,35.493976
ローソン大和西鶴間二丁目店,ろーそんやまとにしつるまにちょうめてん,2420005,大和市西鶴間2-3-17,,,,046-273-8055,,,139.4510093,35.4861532
ファミリーマート南林間店,ふぁみりーまーとみなみりんかんてん,2420006,大和市南林間1-2-14,,,,046-271-6332,,,139.4510494,35.4902316
セブンイレブン大和西鶴間店,せぶんいれぶんやまとにしつるまてん,2420005,大和市西鶴間2-1-1,,,,046-272-4165,,,139.4514545,35.4846885
ファミリーマートサンズ中央林間四丁目店,ふぁみりーまーとさんずちゅうおうりんかんよんちょうめてん,2420007,大和市中央林間4-29-20,,,,046-271-5328,,,139.4516285,35.5038559
サクライ洋品店,さくらいようひんてん,2420005,大和市西鶴間1-7-6,,,,046-274-8524,,,139.4519837,35.4889912
ぶんぐから文具,ぶんぐからぶんぐ,2420003,大和市林間2-9-6,,,,046-275-4151,,りんかーん・オフィスサポート,139.4520724,35.4978729
守屋商店,もりやしょうてん,2420005,大和市西鶴間1-21-1,,,,046-274-2243,,,139.4523193,35.4864665
和菓子処 喜泉,わがしどころきせん,2420003,大和市林間2-21-4,,,,046-276-1123,,,139.4526816,35.4953203
林間薬局,りんかんやっきょく,2420003,大和市林間2-21-3,,,,046-276-5637,,,139.4527966,35.4951713
広瀬米店,ひろせこめてん,2420007,大和市中央林間9-38,,,,046-274-2236,,,139.4531159,35.5117964
鍋田商店,なべたしょうてん,2420005,大和市西鶴間1-2-1,,,,046-274-0449,,,139.4537889,35.4865496
セブンイレブン大和鶴間駅西口店,せぶんいれぶんやまとつるまえきにしぐちてん,2420005,大和市西鶴間1-1-1,,,,046-273-8280,,,139.4538468,35.4869331
ローソン上草柳八丁目店,ろーそんかみそうやぎはっちょうめてん,2420029,大和市上草柳8-16-18,,,,046-200-5715,,,139.453634,35.4797573
セブンイレブン大和林間１丁目店,せぶんいれぶんやまとりんかんいっちょうめてん,2420003,大和市林間1-16-2,,,,046-275-1771,,,139.4541454,35.4920949
カインズホームりんかんモール店,かいんずほーむりんかんもーるてん,2420007,大和市中央林間7-6,,,,046-275-5000,,,139.4542689,35.5003569
ローソン大和鶴間駅前店,ろーそんやまとつるまえきまえてん,2420004,大和市鶴間2-1-24,,,,046-271-7077,,,139.45453,35.4867536
セブンイレブン大和上草柳７丁目店,せぶんいれぶんやまとかみそうやぎななちょうめてん,2420029,大和市上草柳7-10-25,,,,046-261-1979,,,139.4548345,35.4817557
広部たばこ店,ひろべたばこてん,2420004,大和市鶴間1-8-1,,,,046-261-0243,,,139.4550028,35.4855908
タックルベリー 大和店,たっくるべりーやまとてん,2420029,大和市上草柳7-2-5,,,,046-264-6868,,,139.4550123,35.4786805
セブンイレブン大和林間店,せぶんいれぶんやまとりんかんてん,2420003,大和市林間1-18-18,,,,046-276-6130,,,139.4557213,35.4937163
ローソン大和上草柳五丁目店,ろーそんやまとかみそうやぎごちょうめてん,2420029,大和市上草柳5-4-6,,,,046-260-3233,,,139.4560813,35.4767263
ローソン大和市下鶴間店,ろーそんやまとししもつるまてん,2420001,大和市下鶴間1787-2,,,,046-276-5595,,,139.4567835,35.4981745
山形屋酒店,やまがたやさけてん,2420004,大和市鶴間2-12-9,,,,046-274-6089,,,139.4569407,35.4883493
高橋酒店,たかはしさけてん,2420029,大和市上草柳3-2-20,,,,046-263-1181,,坂屋　さかや,139.4576928,35.4727608
セブンイレブン大和鶴間１丁目店,せぶんいれぶんやまとつるまいっちょうめてん,2420004,大和市鶴間1-20-24,,,,046-263-7755,,,139.4590489,35.4835091
嶋田酒店,しまださけてん,2420025,大和市代官2-13-24,,,,046-269-8186,,,139.4593107,35.4382144
セブンイレブン上草柳店,せぶんいれぶんかみそうやぎてん,2420029,大和市上草柳1-3-7,,,,046-263-6410,,,139.4593582,35.4702034
ファミリーマートつきみ野入口店,ふぁみりーまーとつきみのいりぐちてん,2420001,大和市下鶴間44-1,,,,046-271-0670,,,139.4594039,35.5129345
伊藤商店,いとうしょうてん,2420025,大和市代官2-13-18,,,,046-269-0498,,,139.4596686,35.4378189
